Date Time,MW,Mvar,EXC CURRENT,TEMP CG D/STR CLR,TEMP STR SLOT TE,TEMP STR SLOT TE,PRES AMBIENT AIR,MEDIAN GEN CURRENT,F STR WTR D/STR BSHG U1,GEN VOLTAGE L1-L2
9/23/2021 2:35:00 AM,542.0833,86.93427,3298.973,43.40001,68.60001,68.60001,1003.385,14.97483,3.253673,20.92556
9/23/2021 2:36:00 AM,559.1666,74.46326,3315.249,43.40001,68.20001,68.20001,1003.385,15.56076,3.253673,20.92556
9/23/2021 2:37:00 AM,564.7916,78.40863,3340.205,43.40001,68.20001,68.20001,1003.385,15.68663,3.253673,20.92556
9/23/2021 2:38:00 AM,572.3958,81.12958,3382.885,43.40001,68.20001,68.20001,1003.385,15.91753,3.252227,20.92556
9/23/2021 2:39:00 AM,563.125,78.31793,3345.631,43.40001,68,68,1003.385,15.66927,3.263921,20.89301
9/23/2021 2:40:00 AM,559.0104,70.06439,3292.462,43.40001,68,68,1003.385,15.47309,3.236433,20.89301
9/23/2021 2:41:00 AM,556.5625,67.75159,3269.676,43.40001,68,68,1003.385,15.41927,3.249815,20.89301
9/23/2021 2:42:00 AM,529.7396,58.81781,3156.467,43.40001,68,68,1003.385,14.63628,3.258737,20.83333
9/23/2021 2:43:00 AM,513.1771,71.65161,3145.978,43.3,68,68,1003.32,14.22483,3.258737,20.83333
9/23/2021 2:44:00 AM,517.2916,71.65161,3151.042,43.3,68,68,1003.32,14.34983,3.248489,20.90748
9/23/2021 2:45:00 AM,519.3229,72.33185,3158.275,43.3,68,68,1003.32,14.42274,3.255843,20.90748
9/23/2021 2:46:00 AM,523.3333,71.37952,3171.296,43.2,67.70001,67.70001,1003.32,14.56337,3.255843,20.90748
9/23/2021 2:47:00 AM,529.7916,82.98889,3202.04,43.2,67.70001,67.70001,1003.32,14.68924,3.247042,20.90748
9/23/2021 2:48:00 AM,543.6979,100.1309,3331.163,43.2,67.70001,67.70001,1003.32,15.15278,3.258013,20.90748
9/23/2021 2:49:00 AM,561.4583,98.27155,3375.289,43.2,67.39999,67.39999,1003.32,15.65104,3.249333,20.98434
9/23/2021 2:50:00 AM,568.2291,106.0262,3442.563,43.2,67.39999,67.39999,1003.32,15.73958,3.249333,20.98434
9/23/2021 2:51:00 AM,572.2916,91.46918,3415.075,43.2,67.39999,67.39999,1003.32,15.90017,3.273325,20.98434
9/23/2021 2:52:00 AM,565.2604,102.8518,3418.692,43.2,67.39999,67.39999,1003.32,15.75694,3.24656,20.98434
9/23/2021 2:53:00 AM,576.3021,107.6135,3476.201,43.3,67.39999,67.39999,1003.212,15.95313,3.264885,21.0187
9/23/2021 2:54:00 AM,583.3854,89.20172,3425.202,43.3,67.30002,67.30002,1003.212,16.07813,3.243184,21.0187
9/23/2021 2:55:00 AM,592.1354,94.09943,3487.052,43.3,67.30002,67.30002,1003.212,16.37587,3.247524,20.92556
9/23/2021 2:56:00 AM,587.6041,100.2216,3495.732,43.3,67.30002,67.30002,1003.212,16.26476,3.247524,20.92556
9/23/2021 2:57:00 AM,588.3333,95.32385,3470.775,43.40001,67.60001,67.60001,1003.212,16.28646,3.25729,20.98072
9/23/2021 2:58:00 AM,580.3125,91.65057,3438.585,43.40001,67.60001,67.60001,1003.212,16.07813,3.25729,20.98072
9/23/2021 2:59:00 AM,580.1563,90.06335,3456.669,43.40001,67.60001,67.60001,1003.212,16.07813,3.245354,20.98072
9/23/2021 3:00:00 AM,575.9375,90.97034,3420.139,43.40001,67.60001,67.60001,1003.06,15.95313,3.266694,20.94455
9/23/2021 3:01:00 AM,581.25,88.65753,3439.67,43.40001,67.89999,67.89999,1003.06,16.11372,3.250056,20.94455
9/23/2021 3:02:00 AM,583.3854,88.65753,3444.01,43.5,67.89999,67.89999,1003.06,16.1849,3.250056,20.94455
9/23/2021 3:03:00 AM,583.5416,88.20404,3444.01,43.5,67.89999,67.89999,1003.06,16.16754,3.250659,20.94455
9/23/2021 3:04:00 AM,576.1979,87.6145,3416.884,43.5,67.89999,67.89999,1003.06,15.98958,3.250659,20.94455
9/23/2021 3:05:00 AM,583.3333,91.06104,3439.67,43.5,67.89999,67.89999,1003.06,16.16754,3.250659,20.94455
9/23/2021 3:06:00 AM,573.5938,80.81213,3383.97,43.5,68.10001,68.10001,1003.06,15.78993,3.251503,20.94455
9/23/2021 3:07:00 AM,568.75,80.81213,3356.481,43.5,68.10001,68.10001,1002.973,15.8533,3.251503,20.88849
9/23/2021 3:08:00 AM,579.2188,77.22955,3391.565,43.5,68.10001,68.10001,1002.973,16.02517,3.25078,20.88849
9/23/2021 3:09:00 AM,555.625,68.52252,3277.633,43.5,68.10001,68.10001,1002.973,15.40191,3.251986,20.88849
9/23/2021 3:10:00 AM,537.3958,72.4679,3240.017,43.5,68.10001,68.10001,1002.973,14.90278,3.251986,20.88849
9/23/2021 3:11:00 AM,542.0313,74.55396,3221.209,43.5,68.30002,68.30002,1002.973,15.04601,3.286044,20.88849
9/23/2021 3:12:00 AM,557.1875,81.31097,3325.014,43.5,68.30002,68.30002,1002.973,15.56163,3.253673,20.88849
9/23/2021 3:13:00 AM,572.8125,76.23187,3367.694,43.40001,68.30002,68.30002,1002.973,15.90017,3.253673,20.88849
9/23/2021 3:14:00 AM,576.1979,74.05511,3356.843,43.40001,68.10001,68.10001,1002.973,15.90017,3.30467,20.88849
9/23/2021 3:15:00 AM,566.6666,72.60394,3325.014,43.40001,68.10001,68.10001,1002.973,15.70399,3.253191,20.88849
9/23/2021 3:16:00 AM,571.9271,78.45398,3368.055,43.5,68.10001,68.10001,1002.973,15.82899,3.253191,20.88849
9/23/2021 3:17:00 AM,577.8125,76.14117,3368.055,43.40001,68.10001,68.10001,1002.973,16,3.253191,20.88849
9/23/2021 3:18:00 AM,565.0521,73.96442,3330.078,43.40001,68.10001,68.10001,1002.973,15.63802,3.277424,20.88849
9/23/2021 3:19:00 AM,540.7813,69.06671,3242.549,43.40001,68.10001,68.10001,1002.973,14.93924,3.245957,20.88849
9/23/2021 3:20:00 AM,511.8229,66.07367,3112.341,43.5,68.10001,68.10001,1002.973,14.18924,3.263198,20.88849
9/23/2021 3:21:00 AM,506.1458,64.21436,3065.683,43.40001,68.10001,68.10001,1002.973,14.08941,3.256808,20.87041
9/23/2021 3:22:00 AM,520.8854,64.21436,3116.319,43.40001,67.89999,67.89999,1002.973,14.40365,3.256808,20.87041
9/23/2021 3:23:00 AM,528.8021,70.60858,3179.977,43.3,67.89999,67.89999,1002.973,14.6875,3.256808,20.87041
