 ,10MKC01DE502XQ01,10MBY10CE901XQ01,10MKG18FP001ZQ01,10MKW31CP901XQ01,10MKW31CP902XQ01,10MKW31CP903XQ01,10MKG31CQ001AZQ01,10MKG32CQ001AZQ01
,REACTIVE POWER,ACTIVE POWER,PRES H2 GEN CASING,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,PURITY H2 ANALYZER 1,PURITY H2 ANALYZER 2
Date Time,Mvar,MW,bar,bar,bar,bar,% H2,% H2
9/5/2021 2:17:00 AM,-22.13037,622.8646,4.036469,1.175822,1.176545,1.180523,96.36646,96.2377
9/5/2021 2:18:00 AM,-33.55835,620.1041,4.036469,1.174375,1.176545,1.180523,96.36646,96.2377
9/5/2021 2:19:00 AM,-34.32928,620.0521,4.036469,1.174375,1.176545,1.172566,96.36646,96.2377
9/5/2021 2:20:00 AM,-21.99432,620.1041,4.036469,1.172205,1.170396,1.174737,96.36646,96.2377
9/5/2021 2:21:00 AM,-17.55011,623.2291,4.036469,1.177269,1.172567,1.180885,96.36646,96.2377
9/5/2021 2:22:00 AM,-19.95361,622.7083,4.036469,1.175098,1.176183,1.177992,96.36646,96.23625
9/5/2021 2:23:00 AM,-26.98273,623.2813,4.035384,1.176907,1.178354,1.179439,96.36646,96.23625
9/5/2021 2:24:00 AM,-20.6792,622.2916,4.035384,1.176907,1.174736,1.17329,96.36646,96.23625
9/5/2021 2:25:00 AM,-10.20355,623.3854,4.035384,1.171844,1.17763,1.178353,96.36646,96.23625
9/5/2021 2:26:00 AM,-19.77222,623.2291,4.035384,1.180162,1.179439,1.185225,96.36646,96.23625
9/5/2021 2:27:00 AM,-7.573303,621.875,4.035384,1.166057,1.169312,1.176907,96.36646,96.23625
9/5/2021 2:28:00 AM,-7.800049,622.6563,4.035384,1.17329,1.172928,1.177992,96.36646,96.23625
9/5/2021 2:29:00 AM,-14.82916,623.8541,4.035384,1.176545,1.177992,1.177992,96.36646,96.23625
9/5/2021 2:30:00 AM,-16.05359,623.2813,4.035384,1.176545,1.177992,1.177269,96.36646,96.23625
9/5/2021 2:31:00 AM,-21.17804,622.3438,4.035384,1.164971,1.167503,1.175098,96.36646,96.23625
9/5/2021 2:32:00 AM,-15.87219,621.0938,4.035384,1.17546,1.167865,1.178715,96.36646,96.23625
9/5/2021 2:33:00 AM,-24.57922,624.4271,4.035384,1.17329,1.17546,1.178715,96.36646,96.23625
9/5/2021 2:34:00 AM,-16.50708,623.9063,4.035384,1.171844,1.17546,1.178715,96.36646,96.23625
9/5/2021 2:35:00 AM,-17.32336,624.375,4.035384,1.182332,1.17546,1.177269,96.36646,96.23625
9/5/2021 2:36:00 AM,-21.04199,624.1666,4.035384,1.16895,1.17546,1.171482,96.36646,96.23625
9/5/2021 2:37:00 AM,-10.1582,622.6041,4.035384,1.16895,1.167865,1.171482,96.36646,96.23625
9/5/2021 2:38:00 AM,-39.45374,617.9688,4.035384,1.172928,1.175098,1.181247,96.36646,96.23625
9/5/2021 2:39:00 AM,-59.13525,613.5938,4.035384,1.172928,1.175822,1.187396,96.36646,96.23625
9/5/2021 2:40:00 AM,-52.78638,602.8646,4.035384,1.162078,1.167503,1.167865,96.36646,96.23625
9/5/2021 2:41:00 AM,-50.56427,603.3854,4.035384,1.170758,1.174737,1.172205,96.36646,96.23625
9/5/2021 2:42:00 AM,-38.54675,608.3333,4.035384,1.172205,1.171482,1.170035,96.36646,96.23625
9/5/2021 2:43:00 AM,-19.31873,610.4166,4.035384,1.171482,1.171482,1.173652,96.36646,96.23625
9/5/2021 2:44:00 AM,-22.71991,616.25,4.033094,1.180524,1.18197,1.191374,96.36502,96.23625
9/5/2021 2:45:00 AM,-34.78278,616.4063,4.033094,1.177269,1.177269,1.175098,96.36502,96.23625
9/5/2021 2:46:00 AM,-29.93042,620.7291,4.033094,1.169312,1.171843,1.175822,96.36502,96.23625
9/5/2021 2:47:00 AM,-14.82916,622.7083,4.033094,1.182332,1.17546,1.175822,96.36502,96.23625
9/5/2021 2:48:00 AM,-5.124451,624.8438,4.033094,1.174375,1.179801,1.1798,96.36502,96.23625
9/5/2021 2:49:00 AM,-4.489563,623.3333,4.033094,1.174375,1.174013,1.1798,96.36502,96.23625
9/5/2021 2:50:00 AM,-5.623291,623.3854,4.033094,1.172566,1.176545,1.179077,96.36502,96.23625
9/5/2021 2:51:00 AM,-16.37103,623.8021,4.033094,1.17763,1.176545,1.179077,96.36502,96.23625
9/5/2021 2:52:00 AM,-10.83844,623.8021,4.035385,1.171844,1.172928,1.167141,96.36502,96.23625
9/5/2021 2:53:00 AM,-11.70007,621.0938,4.035385,1.167865,1.186311,1.175098,96.36502,96.23625
9/5/2021 2:54:00 AM,-40.27002,621.6666,4.035385,1.17763,1.178715,1.180885,96.36502,96.23625
9/5/2021 2:55:00 AM,-43.08167,620.5729,4.035385,1.169312,1.17112,1.174375,96.36502,96.23625
9/5/2021 2:56:00 AM,-39.99792,625,4.035385,1.175822,1.173652,1.174375,96.36502,96.23625
9/5/2021 2:57:00 AM,-35.32697,623.2813,4.035385,1.17112,1.169312,1.17329,96.36502,96.23625
9/5/2021 2:58:00 AM,-36.86884,624.3229,4.035385,1.174737,1.17546,1.180162,96.36502,96.23625
9/5/2021 2:59:00 AM,-33.55835,613.6979,4.033576,1.178715,1.171844,1.180524,96.36502,96.23625
9/5/2021 3:00:00 AM,-38.5014,606.5625,4.033576,1.17763,1.172928,1.176907,96.36502,96.23625
9/5/2021 3:01:00 AM,-10.20355,606.6666,4.033576,1.17112,1.165695,1.170758,96.36502,96.23625
9/5/2021 3:02:00 AM,1.179077,608.3333,4.033576,1.168227,1.16678,1.170758,96.36502,96.23625
9/5/2021 3:03:00 AM,-13.19659,610.9896,4.033576,1.175822,1.172566,1.183055,96.36502,96.23625
9/5/2021 3:04:00 AM,-8.026794,615.625,4.033576,1.171843,1.169673,1.172205,96.36502,96.23625
9/5/2021 3:05:00 AM,10.11285,620.0521,4.033576,1.170396,1.169673,1.172205,96.36502,96.23625
9/5/2021 3:06:00 AM,17.32336,622.2916,4.033576,1.170396,1.16895,1.170396,96.36502,96.23625
9/5/2021 3:07:00 AM,8.661682,623.9583,4.033576,1.170396,1.17112,1.169673,96.36502,96.23625
9/5/2021 3:08:00 AM,25.89435,623.8021,4.036108,1.162801,1.164971,1.169673,96.36502,96.23625
9/5/2021 3:09:00 AM,28.6153,623.8541,4.036108,1.172566,1.170035,1.176183,96.36502,96.23625
9/5/2021 3:10:00 AM,24.12573,624.375,4.036108,1.172566,1.173652,1.176183,96.36502,96.23625
9/5/2021 3:11:00 AM,37.23163,623.8021,4.036108,1.164248,1.16678,1.167503,96.36502,96.23625
9/5/2021 3:12:00 AM,37.86652,625,4.036108,1.169673,1.178354,1.175098,96.36502,96.23625
9/5/2021 3:13:00 AM,21.13269,624.8438,4.036108,1.164248,1.171482,1.175098,96.36502,96.23625
9/5/2021 3:14:00 AM,18.91058,616.4583,4.036108,1.174014,1.169312,1.172205,96.36646,96.23625
9/5/2021 3:15:00 AM,14.23962,611.5104,4.036108,1.170397,1.167141,1.174737,96.36646,96.23625
9/5/2021 3:16:00 AM,19.31873,614.6875,4.036108,1.170397,1.175098,1.175822,96.36646,96.23625
9/5/2021 3:17:00 AM,12.19891,619.9479,4.036108,1.170758,1.167865,1.175822,96.36646,96.23625
9/5/2021 3:18:00 AM,15.6001,622.2396,4.036831,1.170758,1.174014,1.175822,96.36646,96.23625
9/5/2021 3:19:00 AM,7.029114,617.0313,4.036831,1.172205,1.167141,1.172205,96.36646,96.23625
9/5/2021 3:20:00 AM,19.45477,619.0104,4.036831,1.164971,1.167141,1.169673,96.36646,96.23625
